3.2<->7.1;3.3<->8.1;4.2<->9.1;4.3<->10.1;5.2<->11.1;5.3<->12.1;6.2<->13.1;6.3<->14.1;
5.63180492165e-05;5.63180492165e-05;5.63579238171e-05;0.794331488003;4.70461586283e-05;5.64553903539e-05;5.64222418511e-05;4.70185348759e-05;
5.89649088373e-05;5.89649088373e-05;5.89647757341e-05;5.89647757341e-05;5.89625132128e-05;5.89625132128e-05;5.89521082713e-05;5.89521082713e-05;
5.8924211499e-05;5.8924211499e-05;5.8924382136e-05;5.8924382136e-05;5.89268468779e-05;5.89268468779e-05;5.89386672674e-05;6.05758524693e-05;
5.89321518623e-05;5.89321518623e-05;5.89335242262e-05;5.89335242262e-05;6.05687321552e-05;5.89317393942e-05;6.05684499259e-05;6.05684499259e-05;
5.89545071207e-05;5.89545071207e-05;5.89459075636e-05;5.89459075636e-05;5.89457811409e-05;6.05831639504e-05;5.89367187086e-05;5.89367187086e-05;
6.05837263785e-05;6.05837263785e-05;5.89549881211e-05;5.89549881211e-05;6.05930731558e-05;5.895542253e-05;5.89665141256e-05;5.89665141256e-05;
5.89429644837e-05;5.89429644837e-05;5.89409861796e-05;5.89409861796e-05;5.89405943506e-05;5.89405943506e-05;5.89385655649e-05;5.89385655649e-05;
