1.2<->3.1;1.3<->4.1;2.2<->5.1;2.3<->6.1;
4.07732794737e-05;8.15465589473e-05;8.1550783799e-05;0.0;
0.0;0.0;0.0;4.07366972299e-05;
4.08339064453e-05;4.08339064453e-05;0.0;4.08338288765e-05;
4.08237474369e-05;4.08237474369e-05;8.16466711217e-05;0.0;
0.0;0.0;0.0;4.07760348551e-05;
4.08338434206e-05;4.08338434206e-05;4.08302319455e-05;4.08302319455e-05;
4.07794868584e-05;4.07794868584e-05;4.0832258171e-05;0.0;
0.0;0.0;0.0;4.07504869389e-05;
4.07758994944e-05;4.07758994944e-05;8.16960480618e-05;4.08480240309e-05;
4.07817933544e-05;4.07817933544e-05;0.0;0.0;
4.07817933544e-05;0.0;0.0;4.06524631096e-05;
4.08841747745e-05;8.17683495489e-05;8.18479658361e-05;4.0923982918e-05;
0.0;0.0;0.0;0.0;
4.07725109337e-05;0.0;0.0;8.16589128201e-05;
4.08230109115e-05;8.1646021823e-05;8.1547167995e-05;0.0;
0.0;0.0;0.0;4.08206319222e-05;
4.07383570996e-05;4.07383570996e-05;0.0;4.0752857759e-05;
4.09058764901e-05;4.09058764901e-05;8.17908964675e-05;0.0;
0.0;0.0;0.0;4.08954482337e-05;
3.91409222808e-05;3.91409222808e-05;3.99785663796e-05;3.99785663796e-05;
4.06024222887e-05;4.06024222887e-05;4.06556058701e-05;0.0;
4.08274401557e-05;0.0;0.0;4.08315892035e-05;
0.0;4.08209419987e-05;8.15650954735e-05;4.07825477367e-05;
4.06986682905e-05;4.06986682905e-05;0.0;0.0;
4.08314437787e-05;0.0;0.0;8.16683073958e-05;
4.08546618439e-05;8.17093236879e-05;8.16867635105e-05;0.0;
0.0;0.0;0.0;0.0;
4.08361027352e-05;0.0;0.0;8.16703339603e-05;
4.08342555087e-05;8.16685110174e-05;8.16679001558e-05;0.0;
0.0;0.0;0.0;4.08261607129e-05;
4.07553061255e-05;4.07553061255e-05;4.0763024993e-05;4.0763024993e-05;
4.08338434206e-05;4.08338434206e-05;4.08243143857e-05;0.0;
0.0;0.0;0.0;4.07720807573e-05;
4.08356760643e-05;4.08356760643e-05;4.08355548527e-05;4.08355548527e-05;
4.08287826875e-05;4.08287826875e-05;4.08292722247e-05;0.0;
4.08395212722e-05;0.0;0.0;4.08316328311e-05;
0.0;4.06729911311e-05;8.1360424226e-05;4.0680212113e-05;
4.09196738875e-05;4.09196738875e-05;0.0;0.0;
4.07571075771e-05;0.0;0.0;8.15326500007e-05;
4.08302707231e-05;8.16605414461e-05;8.15489951928e-05;0.0;
0.0;0.0;0.0;0.0;
4.07755707648e-05;4.07755707648e-05;0.0;8.16645648187e-05;
4.08390751328e-05;4.08390751328e-05;8.16803422029e-05;0.0;
0.0;0.0;0.0;4.08264078717e-05;
4.08712949601e-05;4.08712949601e-05;0.0;4.08643070135e-05;
4.07344730235e-05;4.07344730235e-05;8.1483808154e-05;0.0;
0.0;0.0;0.0;4.08277648755e-05;
4.08537058271e-05;4.08537058271e-05;4.09064068001e-05;4.09064068001e-05;
4.08488778977e-05;4.08488778977e-05;4.08498773552e-05;0.0;
0.0;0.0;0.0;0.156174973914;
4.00231164608e-05;4.00231164608e-05;4.0208950551e-05;0.493496218586;
